,Date,Color_of_perch,Condition,Spatial_segregation,Total,Sex,Color_of_damselfly
11530,3_24,gray,MM,Inside_1,1,Male,Green
11598,3_24,gray,MGF,Inside_1,15,Female,Mature_gray
11658,3_24,green,MM,Inside_1,16,Male,Green
11725,3_24,green,MVF,Inside_1,3,Female,Inmature_green
11982,5_31,gray,MGF,Inside_1,22,Female,Mature_gray
12041,5_31,green,IM,Inside_1,1,Male,Inmature_Green
12108,5_31,green,IVF,Inside_1,1,Female,Inmature_green
12109,5_31,green,MVF,Inside_1,3,Female,Inmature_green
12112,5_31,green,MOF,Inside_1,2,Female,Inmature_orange
12240,5_31,yellow,MOF,Inside_1,6,Female,Inmature_orange
12366,5_03,gray,MGF,Inside_1,17,Female,Mature_gray
12493,5_03,green,MVF,Inside_1,1,Female,Inmature_green
12494,5_03,green,MGF,Inside_1,3,Female,Mature_gray
12622,5_03,yellow,MGF,Inside_1,1,Female,Mature_gray
12750,5_04,gray,MGF,Inside_1,8,Female,Mature_gray
12810,5_04,green,MM,Inside_1,4,Male,Green
12875,5_04,green,IGF,Inside_1,1,Female,Olive_green
12877,5_04,green,MVF,Inside_1,5,Female,Inmature_green
12880,5_04,green,MOF,Inside_1,1,Female,Inmature_orange
13008,5_04,yellow,MOF,Inside_1,2,Female,Inmature_orange
13134,5_11,gray,MGF,Inside_1,17,Female,Mature_gray
13263,5_11,green,IOF,Inside_1,1,Female,Inmature_orange
13578,5_18,green,MM,Inside_1,7,Male,Green
13646,5_18,green,MGF,Inside_1,10,Female,Mature_gray
13902,5_25,gray,MGF,Inside_1,15,Female,Mature_gray
13962,5_25,green,MM,Inside_1,13,Male,Green
14030,5_25,green,MGF,Inside_1,2,Female,Mature_gray
